,zero in = -97 gauss 10,,,,
,,,,,
Current (A),B1 (Gauss * 10),B2 (Gauss * 10),B3 (Gauss * 10),B avg (gauss * 10),B std (gauss * 10)
0.07,-93,-93,-92,-92.66666667,0.5773502692
0.27,-81,-81,-80,-80.66666667,0.5773502692
0.47,-69,-69,-70,-69.33333333,0.5773502692
0.67,-56,-56,-54,-55.33333333,1.154700538
0.87,-39,-40,-41,-40,1
1.07,-25,-25,-27,-25.66666667,1.154700538
1.27,-10,-11,-11,-10.66666667,0.5773502692
1.47,3,3,2,2.666666667,0.5773502692
1.67,19,18,21,19.33333333,1.527525232
1.87,35,33,33,33.66666667,1.154700538
2.07,49,47,48,48,1
2.27,62,64,62,62.66666667,1.154700538
2.47,77,76,75,76,1
2.67,89,89,90,89.33333333,0.5773502692
2.87,105,104,105,104.6666667,0.5773502692
3.07,119,118,119,118.6666667,0.5773502692
3.27,133,132,132,132.3333333,0.5773502692
3.47,148,146,145,146.3333333,1.527525232
3.67,160,158,159,159,1