x_0,x_a1,x_b1,x_a2,x_b2,x_a3,x_b3,B,r_a1,r_b1,r_a2,r_b2,r_a3,r_b3
41,87,93,110,115,128,131,0.7,46,52,69,74,87,90
41,87,95,110,115,128,132,0.8,46,54,69,74,87,91
41,85,95,110,116,127,132,0.9,44,54,69,75,86,91
41,85,95,110,116,127,132,1,44,54,69,75,86,91
41,85,96,109,116,127,132,1.1,44,55,68,75,86,91
41,85,96,109,117,126,133,1.2,44,55,68,76,85,92
41,84,97,108,117,126,133,1.3,43,56,67,76,85,92
41,83,97,108,117,126,133,1.4,42,56,67,76,85,92
41,82,97,108,117,125,133,1.5,41,56,67,76,84,92
41,81,98,107,118,125,134,1.6,40,57,66,77,84,93
41,81,99,106,118,124,134,1.7,40,58,65,77,83,93
41,80,99,106,118,124,135,1.8,39,58,65,77,83,94
41,80,100,105,118,124,135,1.9,39,59,64,77,83,94